Count,Time
5,4
10,1
15,1
20,0
25,1
30,0
35,0
40,1
45,0
50,0
55,1
60,0
65,1
70,1
75,0
80,0
85,1
90,0
95,1
100,0
105,0
110,0
115,0
120,1
125,1
130,0
135,0
140,1
145,1
150,1
155,1
160,0
165,1
170,1
175,0
180,1
185,0
190,0
195,0
200,0
205,0
210,1
215,0
220,1
225,0
230,0
235,0
240,1
245,1
250,0
